,Nationalrat,Fraktion,Kanton,Geb. Datum,Mit Mehrheit/Total,MitMehrheit/Prozent
136,Fässler-Osterwalder Hildegard,S,SG,1951-06-22,853.0,58.7
137,Baader Caspar,V,BL,1953-10-01,741.0,48.8
138,Fehr Jacqueline,S,ZH,1963-06-01,792.0,54.7
139,Chopard-Acklin Max,S,AG,1966-08-30,828.0,57.0
140,Landolt Martin,BD,GL,1968-06-30,904.0,59.3
141,Maire Jacques-André,S,NE,1957-05-27,830.0,57.5
142,Büchel Roland Rino,V,SG,1965-10-08,843.0,55.5
143,Wermuth Cédric,S,AG,1986-02-19,806.0,55.5
144,Birrer-Heimo Prisca,S,LU,1959-02-04,752.0,53.0
145,Ingold Maja,CE,ZH,1948-05-23,1005.0,68.3
146,Jans Beat,S,BS,1964-07-12,822.0,56.3
147,Streiff-Feller Marianne,CE,BE,1957-08-17,1002.0,68.3
148,Bugnon André,V,VD,1947-09-13,822.0,54.5
149,Schneider-Schneiter Elisabeth,CE,BL,1964-02-19,1241.0,85.2
150,Frehner Sebastian,V,BS,1973-09-02,676.0,45.7
151,Pardini Corrado,S,BE,1965-06-19,711.0,48.5
152,Quadri Lorenzo,V,TI,1974-11-05,633.0,42.5
153,Fehr Hans-Jürg,S,SH,1948-08-07,745.0,48.0
154,Aebischer Matthias,S,BE,1967-10-18,854.0,59.0
155,Böhni Thomas,GL,TG,1964-12-24,1006.0,69.3
156,de Courten Thomas,V,BL,1966-07-29,790.0,52.2
157,Ritter Markus,CE,SG,1967-04-19,1171.0,80.7
158,Aeschi Thomas,V,ZG,1979-01-13,867.0,56.8
159,Rusconi Pierre,V,TI,1949-12-03,754.0,55.6
160,Vitali Albert,RL,LU,1955-06-26,1077.0,72.7
161,Haller Vannini Ursula,BD,BE,1948-11-04,1074.0,73.3
162,Hassler Hansjörg,BD,GR,1953-09-23,1198.0,81.8
163,Badran Jacqueline,S,ZH,1961-11-12,718.0,48.3
164,Fässler Daniel,CE,AI,1960-08-22,975.0,66.5
165,Flach Beat,GL,AG,1965-01-21,1036.0,71.2
166,Hardegger Thomas,S,ZH,1956-04-02,809.0,55.2
167,Joder Rudolf,V,BE,1950-06-10,852.0,56.5
168,Kaufmann Hans,V,ZH,1948-06-13,775.0,50.3
169,Müller-Altermatt Stefan,CE,SO,1976-06-17,1117.0,77.0
170,Pieren Nadja,V,BE,1980-02-14,870.0,57.3
171,Quadranti Rosmarie,BD,ZH,1957-07-18,1188.0,81.2
172,Brand Heinz,V,GR,1955-09-06,813.0,53.5
173,Schneeberger Daniela,RL,BL,1967-09-19,1126.0,76.2
174,Feri Yvonne,S,AG,1966-03-21,811.0,56.2
175,Candinas Martin,CE,GR,1980-08-20,1178.0,80.7
176,Leutenegger Oberholzer Susanne,S,BL,1948-03-06,797.0,55.0
177,Gasche Urs,BD,BE,1955-03-15,911.0,61.5
178,Pantani Roberta,V,TI,1965-09-19,737.0,48.5
179,Lustenberger Ruedi,CE,LU,1950-04-02,1044.0,71.7
180,Caroni Andrea,RL,AR,1980-04-19,1018.0,68.5
181,Fridez Pierre-Alain,S,JU,1957-11-20,793.0,54.5
182,Feller Olivier,RL,VD,1974-08-30,1126.0,76.5
183,Meier-Schatz Lucrezia,CE,SG,1952-01-04,1099.0,75.8
184,Derder Fathi,RL,VD,1970-12-04,1033.0,69.3
185,Hadorn Philipp,S,SO,1967-02-06,838.0,58.0
186,Kessler Margrit,GL,SG,1948-12-25,1098.0,74.8
187,Neirynck Jacques,CE,VD,1931-08-17,917.0,60.7
188,Grossen Jürg,GL,BE,1969-08-24,1072.0,74.0
189,Guhl Bernhard,BD,AG,1972-06-10,1103.0,71.0
190,Pezzatti Bruno,RL,ZG,1951-03-04,915.0,62.2
191,Riklin Kathy,CE,ZH,1952-10-21,1015.0,76.2
192,Buttet Yannick,CE,VS,1977-07-12,1074.0,74.7
193,Rossini Stéphane,S,VS,1963-08-09,827.0,57.8
194,Fischer Roland,GL,LU,1965-04-05,1052.0,73.5
195,Amaudruz Céline,V,GE,1979-03-15,822.0,54.0
196,Reynard Mathias,S,VS,1987-09-07,812.0,55.8
197,Poggia Mauro,-,GE,1959-04-25,943.0,64.2
198,Glättli Balthasar,G,ZH,1972-02-12,806.0,55.8
199,Hess Lorenz,BD,BE,1961-06-28,995.0,67.7
200,Rytz Regula,G,BE,1962-03-02,769.0,52.7
